case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.87.16.20|111101|20220720|BDM-1-70041212,2022,20220720,2022-07-18,3.87.16.20,臺中市中山地政事務所,111101,111年度「關防拓印電子權利書狀用紙6萬張」,"<財物類>32紙漿,紙及紙產品;印刷品及相關的商品",限制性招標(未經公開評選或公開徵求),最低標,984000,984000,1,中央印製廠,臺中市(非原住民地區),臺中市－西區,111/07/20－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041212.xml,data/raw/taichung/2022/tenders/20220720_3.87.16.20_111101.json
3.87.25|11104250083|20220720|BDM-1-70041317,2022,20220720,2022-07-19,3.87.25,臺中市政府水利局,11104250083,臺中市巨蛋體育館周邊污水下水道改善工程開口契約設計及監造委託技術服務,<勞務類>8672工程服務,經公開評選或公開徵求之限制性招標,準用最有利標,3434112,3262406,1,兆興工程顧問有限公司,臺中市(非原住民地區),臺中市－北屯區,111/07/19－112/12/31(預估),,,排水清淤,1,1,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041317.xml,data/raw/taichung/2022/tenders/20220720_3.87.25_11104250083.json
3.87.30|TTB111069|20220720|BDM-1-70041097,2022,20220720,2022-07-19,3.87.30,臺中市政府觀光旅遊局,TTB111069,111年山海屯都安心玩旅遊推廣案,"<勞務類>96娛樂,文化,體育服務",經公開評選或公開徵求之限制性招標,準用最有利標,30000000,30000000,1,臺中市旅行商業同業公會,臺中市(非原住民地區),臺中市－全區,111/07/19－112/04/30(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041097.xml,data/raw/taichung/2022/tenders/20220720_3.87.30_TTB111069.json
3.87.4|1090602-1|20220720|BDM-1-70041190,2022,20220720,2022-07-14,3.87.4,臺中市政府教育局,1090602-1,臺中市立神圳國民中學多功能活動中心暨非營利幼兒園教室新建工程第1次變更設計,<工程類>5127教育用建築工程,限制性招標(未經公開評選或公開徵求),最低標,17634342,17568900,1,連信營造有限公司,臺中市(非原住民地區),臺中市－神岡區,111/07/14－111/07/23(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041190.xml,data/raw/taichung/2022/tenders/20220720_3.87.4_1090602-1.json
3.87.4.98|11121|20220720|BDM-1-70041853,2022,20220720,2022-07-19,3.87.4.98,臺中市立后綜高級中學,11121,111學年度第一學期高中部教科書採購案,"<財物類>32紙漿,紙及紙產品;印刷品及相關的商品",公開招標,最低標,4886919,3861000,1,五楠圖書用品股份有限公司,臺中市(非原住民地區),臺中市－后里區,111/07/22－111/10/30(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041853.xml,data/raw/taichung/2022/tenders/20220720_3.87.4.98_11121.json
3.87.40|A11100035|20220720|BDM-1-70040369,2022,20220720,2022-07-04,3.87.40,臺中捷運股份有限公司,A11100035,印表機耗材採購(開口契約) (組別：A、B、C、D組),<財物類>451辦公室及會計機器，其零件及附件,經公開評選或公開徵求之限制性招標,最低標,3154793,1218950,1,宏羚股份有限公司,臺中市(非原住民地區),臺中市－北屯區,111/07/18－112/07/17(預估),,,,0,1,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70040369.xml,data/raw/taichung/2022/tenders/20220720_3.87.40_A11100035.json
3.87.5.32|892|20220720|BDM-1-70041265,2022,20220720,2022-07-12,3.87.5.32,臺中市立沙鹿工業高級中等學校,892,111學年度第一學期臺中市立沙鹿高工教科書採購案,"<財物類>32紙漿,紙及紙產品;印刷品及相關的商品",公開招標,最低標,7701127,6084393,1,五楠圖書用品股份有限公司,臺中市(非原住民地區),臺中市－沙鹿區,111/07/12－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041265.xml,data/raw/taichung/2022/tenders/20220720_3.87.5.32_892.json
3.87.5.37|tchcvs111018|20220720|BDM-1-70040638,2022,20220720,2022-07-19,3.87.5.37,臺中市立臺中家事商業高級中等學校,tchcvs111018,111學年度高三公民訓練暨校外教學參訪活動採購案,<勞務類>74支援及輔助運輸服務,經公開評選或公開徵求之限制性招標,準用最有利標,3085500,3079450,1,花翎旅行社股份有限公司,屏東縣(非原住民地區),"高雄市－大樹區,屏東縣－恆春",111/10/26－111/10/28(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70040638.xml,data/raw/taichung/2022/tenders/20220720_3.87.5.37_tchcvs111018.json
3.87.5.63|111017|20220720|aaa-70042586,2022,20220720,2022-07-20,3.87.5.63,臺中市立中山國民中學,111017,2022年LLB世界次青少棒錦標賽勞務採購,<勞務類>74支援及輔助運輸服務,公開取得報價單或企劃書,參考最有利標精神,750400,724480,1,集盛旅行社股份有限公司,臺中市(非原住民地區),中部地區－全區,111/07/20－111/08/24,,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDI1ODY=,data/raw/taichung/2022/tenders/20220720_3.87.5.63_111017.json
3.87.5.72|D11101|20220720|BDM-1-70040307,2022,20220720,2022-07-12,3.87.5.72,臺中市立四張犁國民中學,D11101,四張犁國中既有電力系統改善工程,<工程類>5164電力工程,公開招標,最低標,5596325,4379999,1,億來科技股份有限公司,臺中市(非原住民地區),臺中市－北屯區,111/07/27－111/11/13,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70040307.xml,data/raw/taichung/2022/tenders/20220720_3.87.5.72_D11101.json
3.87.5.97|A1110701|20220720|BDM-1-70041550,2022,20220720,2022-07-19,3.87.5.97,臺中市立大安國民中學,A1110701,臺中市立大安國民中學111學年度學校午餐團膳採購,"<財物類>23穀粉,澱粉及澱粉製品;其他食品",公開招標,最有利標,1800000,1800000,2,吉米食品有限公司；聯引餐盒廠,臺中市(非原住民地區),臺中市－大安區,111/08/29－112/07/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041550.xml,data/raw/taichung/2022/tenders/20220720_3.87.5.97_A1110701.json
3.87.59|111018|20220720|BDM-1-70040896,2022,20220720,2022-07-19,3.87.59,臺中市豐原區公所,111018,臺中市豐原區111年度社皮、西湳及成功路二側市地重劃區道路及排水改善工程(開口契,"<工程類>5131快速道路(不含高架快速道路),街道,馬路,鐵路及機場跑道",公開招標,最低標,5564600,4451680,1,大山營造有限公司,臺中市(非原住民地區),臺中市－豐原區,111/08/01－111/11/30(預估),西湳及成功路,標案名稱,排水清淤,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70040896.xml,data/raw/taichung/2022/tenders/20220720_3.87.59_111018.json
3.87.6.20|1110601|20220720|aaa-70042220,2022,20220720,2022-07-15,3.87.6.20,臺中市立神圳國民中學,1110601,臺中市神圳非營利幼兒園幼教圖書及非固定式遊具採購案,<財物類>385遊戲及玩具,公開取得報價單或企劃書,參考最有利標精神,484000,484000,1,洺冠科技有限公司,臺中市(非原住民地區),臺中市－神岡區,111/07/15－111/08/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDIyMjA=,data/raw/taichung/2022/tenders/20220720_3.87.6.20_1110601.json
